Minute,Rated,Power
11:09,700,0
11:09,700,0
11:09,700,17
11:09,700,21
11:09,700,7
11:09,700,9
11:10,700,9
11:10,700,12
11:10,700,11
11:10,700,37
11:10,700,38
11:10,700,12
11:11,700,55
11:11,700,11
11:11,700,56
11:11,700,38
11:11,700,14
11:11,700,59
11:12,700,13
11:12,700,17
11:12,700,71
11:12,700,49
11:12,700,6
11:12,700,9
11:13,700,82
11:13,700,75
11:13,700,82
11:13,700,1806
11:13,700,1738
11:13,700,1818
11:14,700,1820
11:14,700,1757
11:14,700,1810
11:14,700,1812
11:14,700,1721
11:14,700,1720
11:15,700,1798
11:15,700,1721
11:15,700,1730
11:15,700,1837
11:15,700,1836
11:15,700,1769
11:16,700,1845
11:16,700,1845
11:16,700,1839
11:16,700,1765
11:16,700,1833
11:16,700,1841
11:17,700,1754
11:17,700,7
11:17,700,98
11:17,700,97
11:17,700,1700
11:17,700,1756
11:18,700,1748
11:18,700,1834
11:18,700,1790
11:18,700,1739
11:18,700,1746
11:18,700,1825
11:19,700,195
11:19,700,86
11:19,700,5
11:19,700,191
11:19,700,92
11:19,700,62
11:20,700,5
11:20,700,77
11:20,700,82
11:20,700,4
11:20,700,92
11:20,700,81
11:21,700,6
11:21,700,72
11:21,700,89
11:21,700,6
11:21,700,90
11:21,700,78
11:22,700,6
11:22,700,73
11:22,700,79
11:22,700,79
11:22,700,183
11:22,700,75
11:23,700,6
11:23,700,88
11:23,700,83
11:23,700,5
11:23,700,73
11:23,700,83
11:24,700,6
11:24,700,6
11:24,700,81
11:24,700,82
11:24,700,6
11:24,700,84
11:25,700,84
11:25,700,4
11:25,700,85
11:25,700,86
11:25,700,3
11:25,700,53
11:26,700,87
11:26,700,7
11:26,700,56
11:26,700,90
11:26,700,5
11:26,700,67
11:27,700,83
11:27,700,5
11:27,700,181
11:27,700,81
11:27,700,3
11:27,700,4
11:28,700,85
11:28,700,86
11:28,700,3
11:28,700,90
11:28,700,88
11:28,700,4
11:29,700,85
11:29,700,85
11:29,700,3
11:29,700,83
11:29,700,70
11:29,700,4
11:30,700,89
11:30,700,79
11:30,700,5
11:30,700,75
11:30,700,82
11:30,700,4
11:31,700,201
11:31,700,83
11:31,700,5
11:31,700,7
11:31,700,86
11:31,700,3
11:32,700,5
11:32,700,95
11:32,700,89
11:32,700,3
11:32,700,85
11:32,700,85
11:33,700,3
11:33,700,87
11:33,700,91
11:33,700,6
11:33,700,75
11:33,700,79
11:34,700,6
11:34,700,58
11:34,700,86
11:34,700,5
11:34,700,190
11:34,700,77
11:35,700,5
11:35,700,185
